employee_Fullname,job_title,company_name,linkedin_urls,count_employee
Nithin Bose, Vice President of Customer Success,Very Good Security,https://www.linkedin.com/in/nithinbose/,208
Gareth Griffiths,CEO,Ecology Building Society,https://www.linkedin.com/in/gareth-griffiths-77b74831/,42
Ryan O’ Holleran,"Director of Enterprise Sales, EMEA",Airwallex,https://www.linkedin.com/in/ryanoholleran/,989
Harriet Allner,Fintech Director,Common Industry,https://www.linkedin.com/in/harriet-allner-0831015b/?originalSubdomain=uk,12
Nikos Melachrinos,Co-Founder & CEO ,Quirk,https://www.linkedin.com/in/nmela/,9
Ali Abdulkadir Ali,Vice President of Global Product,Wahed,https://www.linkedin.com/in/abdulkadirali/,184
Ange Johnson De Wet,"Head of Function, Cloud Enabled Business Transformation",Lloyds Banking Group,https://www.linkedin.com/in/ange-johnson-de-wet-7256b92/?originalSubdomain=uk,55335
Jeff Parker,GM - International,Marqeta,https://www.linkedin.com/in/jeff-parker-504a10/,66
John Gathergood,"Professor of Economics, Faculty of Social Sciences,",University of Nottingham,https://www.linkedin.com/in/john-gathergood/?originalSubdomain=uk,10948
HarryWeber-Brown,Chief Executive,TISA,https://www.linkedin.com/in/harryweberbrown/,57
KatinkaJussie Brurberg,Growth Manager,BankID Sweden,https://www.linkedin.com/in/katinka-brurberg/,94
Simon Moffat,Founder and CEO,The Cyber Hut,https://www.linkedin.com/in/simonmoffatt/,
Eliza Prettyman,Senior Strategy Advisor,DCMS,https://www.linkedin.com/in/eliza-prettyman-721106101/,1719
Alison Mc Dowell ,Advisory Board Member,Better Hiring Institute,https://www.linkedin.com/in/alison-mcdowell-b183a71/,34
Francisco Martins,"Senior Executive, Financial Services & Crypto",IDnow,https://www.linkedin.com/in/francisco-martins-68751b48/,287
Sergei Federov,Head of Onboarding,ANNA Money,https://www.linkedin.com/in/fedorovsergey/,104
Priya Guliani,Regional Director EMEA,Government Blockchain Association,https://www.linkedin.com/in/priyaguliani/,265
Petros Efstathopoulos,Global Head of Research,NortonLifeLock,https://www.linkedin.com/in/petros-efstathopoulos-5054a41/,2337
Arkan Akin,Co-Founder ,Toronet,https://www.linkedin.com/in/akinarkan/,7
Anne-Marie Lister,Chief People Officer,Atom,https://www.linkedin.com/in/anne-marie-lister-b9585b15/?originalSubdomain=uk,415
Kieran Roberts ,Strategy Development Manager,Leeds Building Society,https://www.linkedin.com/in/kieran-roberts-64776b79/,1204
Ravneet Shah,CTO,Allica Bank,https://www.linkedin.com/in/ravneet-shah/,276
